21:16:34.999 [INFO] RawMouse: DeltaX=-2, DeltaY=0, Wheel=0, Buttons=None, PrevButtons=None
21:16:35.000 [INFO] RawMouse: DeltaX=-2, DeltaY=0, Wheel=0, Buttons=None, PrevButtons=None
21:16:35.001 [INFO] RawMouse: DeltaX=-1, DeltaY=0, Wheel=0, Buttons=None, PrevButtons=None
21:16:35.002 [INFO] RawMouse: DeltaX=-2, DeltaY=0, Wheel=0, Buttons=None, PrevButtons=None
21:16:35.003 [INFO] RawMouse: DeltaX=-1, DeltaY=0, Wheel=0, Buttons=None, PrevButtons=None
21:16:35.004 [INFO] RawMouse: DeltaX=-2, DeltaY=0, Wheel=0, Buttons=None, PrevButtons=None
21:16:35.005 [INFO] RawMouse: DeltaX=-2, DeltaY=0, Wheel=0, Buttons=None, PrevButtons=None
21:16:35.006 [INFO] RawMouse: DeltaX=-1, DeltaY=0, Wheel=0, Buttons=None, PrevButtons=None
21:16:35.007 [INFO] RawMouse: DeltaX=-2, DeltaY=0, Wheel=0, Buttons=None, PrevButtons=None
21:16:35.008 [INFO] RawMouse: DeltaX=-2, DeltaY=0, Wheel=0, Buttons=None, PrevButtons=None
21:16:35.009 [INFO] RawMouse: DeltaX=-1, DeltaY=0, Wheel=0, Buttons=None, PrevButtons=None
21:16:35.010 [INFO] RawMouse: DeltaX=-2, DeltaY=0, Wheel=0, Buttons=None, PrevButtons=None
21:16:35.011 [INFO] RawMouse: DeltaX=-1, DeltaY=0, Wheel=0, Buttons=None, PrevButtons=None
21:16:35.013 [INFO] RawMouse: DeltaX=-2, DeltaY=0, Wheel=0, Buttons=None, PrevButtons=None
21:16:35.013 [INFO] RawMouse: DeltaX=-1, DeltaY=0, Wheel=0, Buttons=None, PrevButtons=None
21:16:35.014 [INFO] RawMouse: DeltaX=-2, DeltaY=0, Wheel=0, Buttons=None, PrevButtons=None
21:16:35.015 [INFO] RawMouse: DeltaX=-2, DeltaY=0, Wheel=0, Buttons=None, PrevButtons=None
21:16:35.016 [INFO] RawMouse: DeltaX=-1, DeltaY=0, Wheel=0, Buttons=None, PrevButtons=None
21:16:35.017 [INFO] RawMouse: DeltaX=-2, DeltaY=0, Wheel=0, Buttons=None, PrevButtons=None
21:16:35.018 [INFO] RawMouse: DeltaX=-1, DeltaY=0, Wheel=0, Buttons=None, PrevButtons=None
21:16:35.019 [INFO] RawMouse: DeltaX=-2, DeltaY=0, Wheel=0, Buttons=None, PrevButtons=None
21:16:35.020 [INFO] RawMouse: DeltaX=-1, DeltaY=0, Wheel=0, Buttons=None, PrevButtons=None
21:16:35.021 [INFO] RawMouse: DeltaX=-2, DeltaY=0, Wheel=0, Buttons=None, PrevButtons=None
21:16:35.022 [INFO] RawMouse: DeltaX=-2, DeltaY=0, Wheel=0, Buttons=None, PrevButtons=None
21:16:35.023 [INFO] RawMouse: DeltaX=-1, DeltaY=0, Wheel=0, Buttons=None, PrevButtons=None
21:16:35.024 [INFO] RawMouse: DeltaX=-2, DeltaY=0, Wheel=0, Buttons=None, PrevButtons=None
21:16:35.025 [INFO] RawMouse: DeltaX=-1, DeltaY=0, Wheel=0, Buttons=None, PrevButtons=None
21:16:35.026 [INFO] RawMouse: DeltaX=-2, DeltaY=0, Wheel=0, Buttons=None, PrevButtons=None
21:16:35.027 [INFO] RawMouse: DeltaX=-1, DeltaY=0, Wheel=0, Buttons=None, PrevButtons=None
21:16:35.028 [INFO] RawMouse: DeltaX=-2, DeltaY=0, Wheel=0, Buttons=None, PrevButtons=None
21:16:35.029 [INFO] RawMouse: DeltaX=-1, DeltaY=0, Wheel=0, Buttons=None, PrevButtons=None
21:16:35.030 [INFO] RawMouse: DeltaX=-1, DeltaY=0, Wheel=0, Buttons=None, PrevButtons=None
21:16:35.031 [INFO] RawMouse: DeltaX=-1, DeltaY=0, Wheel=0, Buttons=None, PrevButtons=None
21:16:35.032 [INFO] RawMouse: DeltaX=-2, DeltaY=0, Wheel=0, Buttons=None, PrevButtons=None
